n,T,g1_ratio,g2_ratio,g3_ratio
10000,0.000655,6.55E-13,4.93E-10,6.55E-10
15000,0.001073,3.18E-13,5.16E-10,4.77E-10
20000,0.001385,1.73E-13,4.85E-10,3.46E-10
25000,0.001889,1.21E-13,5.17E-10,3.02E-10
30000,0.002225,8.24E-14,4.99E-10,2.47E-10
35000,0.002551,5.95E-14,4.83E-10,2.08E-10
40000,0.003208,5.01E-14,5.25E-10,2.01E-10
45000,0.003683,4.04E-14,5.29E-10,1.82E-10
50000,0.004234,3.39E-14,5.42E-10,1.69E-10
55000,0.004598,2.76E-14,5.31E-10,1.52E-10
60000,0.004995,2.31E-14,5.24E-10,1.39E-10
65000,0.004968,1.81E-14,4.78E-10,1.18E-10
70000,0.005516,1.61E-14,4.90E-10,1.13E-10
75000,0.005911,1.40E-14,4.87E-10,1.05E-10
80000,0.006181,1.21E-14,4.74E-10,9.66E-11
85000,0.006813,1.11E-14,4.89E-10,9.43E-11
90000,0.007033,9.65E-15,4.75E-10,8.68E-11
95000,0.007418,8.65E-15,4.72E-10,8.22E-11
100000,0.008171,8.17E-15,4.92E-10,8.17E-11
105000,0.008559,7.39E-15,4.89E-10,7.76E-11
110000,0.009161,6.88E-15,4.97E-10,7.57E-11
115000,0.009359,6.15E-15,4.84E-10,7.08E-11
120000,0.009603,5.56E-15,4.74E-10,6.67E-11
125000,0.010018,5.13E-15,4.73E-10,6.41E-11
130000,0.010452,4.76E-15,4.73E-10,6.18E-11
135000,0.010777,4.38E-15,4.68E-10,5.91E-11
140000,0.011389,4.15E-15,4.76E-10,5.81E-11
145000,0.011987,3.93E-15,4.82E-10,5.70E-11
150000,0.011896,3.52E-15,4.61E-10,5.29E-11
155000,0.012464,3.35E-15,4.66E-10,5.19E-11
160000,0.01316,3.21E-15,4.76E-10,5.14E-11
165000,0.013181,2.93E-15,4.61E-10,4.84E-11
170000,0.01433,2.92E-15,4.85E-10,4.96E-11
175000,0.014557,2.72E-15,4.78E-10,4.75E-11
180000,0.015595,2.67E-15,4.96E-10,4.81E-11
185000,0.015817,2.50E-15,4.89E-10,4.62E-11
190000,0.015422,2.25E-15,4.63E-10,4.27E-11
195000,0.016677,2.25E-15,4.87E-10,4.39E-11
200000,0.016667,2.08E-15,4.73E-10,4.17E-11
205000,0.017003,1.97E-15,4.70E-10,4.05E-11
210000,0.017754,1.92E-15,4.78E-10,4.03E-11
215000,0.018033,1.81E-15,4.73E-10,3.90E-11
220000,0.018265,1.72E-15,4.68E-10,3.77E-11
225000,0.018646,1.64E-15,4.66E-10,3.68E-11
230000,0.01898,1.56E-15,4.63E-10,3.59E-11
235000,0.01954,1.51E-15,4.66E-10,3.54E-11
240000,0.019994,1.45E-15,4.66E-10,3.47E-11
245000,0.020529,1.40E-15,4.68E-10,3.42E-11
250000,0.021346,1.37E-15,4.76E-10,3.42E-11
